Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_201,Node_202,Node_203,Node_204,Node_205,Node_206,Node_207,Node_208,Node_209,Node_301,Node_302,Node_303,Node_304,Node_305,Node_306,Node_307,Node_308,Node_309,Node_310,Node_311,Node_312,Node_313,Node_314,Node_315,Node_316,Node_317,Node_318,Node_401,Node_402,Node_403,Node_404,Node_405,Node_406,Node_407
51,51,52,51,52,51,0,45,45,45,46,43,0,43,41,0,44,43,43,43,41,36,34,42,0,0,0,41,44,39,36,39,36,43,41,39,37,41,39,37
9,9,9,9,9,9,0,57,57,57,57,56,0,56,56,0,56,56,56,57,56,53,52,55,0,0,0,55,56,54,53,55,54,56,56,55,54,56,55,54
1,1,1,1,1,1,0,60,60,60,59,60,0,60,60,0,59,58,58,60,59,56,56,58,0,0,0,59,59,60,63,58,57,60,60,60,60,60,60,60
0,0,0,0,0,0,0,60,61,60,59,60,0,60,60,0,59,59,59,60,60,57,57,59,0,0,0,59,59,60,63,59,58,61,61,61,61,61,61,61
0,0,0,0,0,0,0,60,61,60,59,60,0,60,60,0,59,59,59,60,60,57,57,59,0,0,0,59,59,60,63,59,58,61,61,61,61,61,61,61
0,0,0,0,0,0,0,60,61,60,59,60,0,60,60,0,59,59,59,60,60,57,57,59,0,0,0,59,59,60,63,59,58,61,61,61,61,61,61,61
0,0,0,0,0,0,0,60,61,60,59,60,0,60,60,0,59,59,59,60,60,57,57,59,0,0,0,59,59,60,63,59,58,61,61,61,61,61,61,61
0,0,0,0,0,0,0,60,61,60,59,60,0,60,60,0,59,59,59,60,60,57,57,59,0,0,0,59,59,60,63,59,58,61,61,61,61,61,61,61
0,0,0,0,0,0,0,60,61,60,59,60,0,60,60,0,59,59,59,60,60,57,57,59,0,0,0,59,59,60,63,59,58,61,61,61,61,61,61,61
0,0,0,0,0,0,0,60,61,60,59,60,0,60,60,0,59,59,59,60,60,57,57,59,0,0,0,59,59,60,63,59,58,61,61,61,61,61,61,61
0,0,0,0,0,0,0,60,61,60,59,60,0,60,60,0,59,59,59,60,60,57,57,59,0,0,0,59,59,60,63,59,58,61,61,61,61,61,61,61
